domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Business,Finance,Managing My Financial Journey,The Open University,Martin Upton,0,"
        ",70,"europe,uk,financial crisis,financial markets,united kingdom",Free Online Course (Audit),2018-11-05,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business,Contract Management: Building Relationships in Business,University of Southampton,Tim Cummins and Douglas Macbeth,0,"
        ",158,"europe,uk",Free Online Course (Audit),2018-11-05,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Business,Ethics for Managers,Santa Clara University,Kirk O. Hanson,1,"
        ",264,"usa,north america",Free Online Course,2018-11-05,Finished,English,"
              Certificate Available
            ",12 weeks long
Business,Business Intelligence,Introduction to Business in Asia,Griffith University,Dr. Peter Woods,8,"
        ",770,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Finance,TVA et collectivités territoriales : ayez les bons réflexes,Centre national de la fonction publique territoriale,Julien Kodjabachian and Bernard Guilbert,0,"
        ",6,"vat,value added tax,taxation",Free Online Course,2018-11-05,Finished,French,,4 weeks long
Business,Marketing,Public Relations Research,National University of Singapore,Iccha Basnyat,1,"
        ",160,"asia,public relations,singapore",Free Online Course (Audit),2018-09-03,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Management & Leadership,Management Essentials,Honeywell,Marcus Valeriano,0,"
        ",201,"leadership,management skills",Free Online Course (Audit),2018-09-01,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Finance,Managing My Investments,The Open University,Martin Upton,2,"
        ",270,"europe,uk",Free Online Course (Audit),2018-08-20,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Marketing,Public Relations Campaigns,National University of Singapore,Mohan Dutta,2,"
        ",340,"asia,public relations,singapore",Free Online Course (Audit),2018-09-03,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business Intelligence,Introduction to Business for Analytics,Georgia Institute of Technology,Alan Flury,0,"
        ",203,gtx,Free Online Course (Audit),2018-08-20,Finished,English,,14 weeks long
Business,Marketing,Marketing Management-I,Indian Institute of Technology Kanpur,Shashi Shekhar Mishra and Jayanta Chatterjee,0,"
        ",36,"india,marketing,asia",Free Online Course,2018-08-06,Finished,English,,8 weeks long
Business,Strategic Management,SMEs and Digital Engagement,Deakin University,Dr Sharon Pittaway,0,"
        ",110,"business,digital technology",Free Online Course (Audit),2018-07-30,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Business,The Art of Sales - Capstone: Putting it All Together,Northwestern University,Craig Wortmann,0,"
        ",48,"capstone,sales",,2018-07-30,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business,The Art of Sales - Course 2:  Now Make Contact!,Northwestern University,Craig Wortmann,1,"
        ",95,sales,Free Online Course (Audit),2018-07-30,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Business,Business,The Art of Sales - Course 3: Let's Fall In Love,Northwestern University,Craig Wortmann,0,"
        ",100,sales,Free Online Course (Audit),2018-07-30,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Business,The Art of Sales - Course 1: Prepare to Stand Out,Northwestern University,Craig Wortmann,1,"
        ",100,sales,Free Online Course (Audit),2018-07-30,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business,Social Enterprise: Turning Ideas into Action,Middlesex University London,Jeremy Wade and Sara Calvo,0,"
        ",43,"europe,social enterprise,uk,venture",Free Online Course (Audit),2018-07-16,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Management & Leadership,Introduction to Interfaith Leadership,Dominican University,Rachel Hart Winter and Aaron Hollander,0,"
        ",67,"leadership,interfaith",Free Online Course,2018-07-09,Finished,English,,8 weeks long
Business,Entrepreneurship,Startup School,Y Combinator,Geoff Ralston,39,"
        ",29301,,Free Online Course,2018-08-27,Finished,English,,10 weeks long
Business,Business,Social Enterprise: Business Doing Good,Middlesex University London,Jeremy Wade and Sara Calvo,0,"
        ",31,"europe,social enterprise,uk,global problems",Free Online Course (Audit),2018-06-11,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Business Intelligence,Basics of ICT & Business,Fontys Hogeschool ICT,Koen Suilen,0,"
        ",61,"business,ict",Free Online Course,2018-06-04,Finished,Dutch,"
              Certificate Available
            ",17 weeks long
Business,Marketing,Social Media in Public Relations,National University of Singapore,Tracy Loh,1,"
        ",356,"social media,asia,public relations,singapore",Free Online Course (Audit),2018-09-03,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Strategic Management,Strategy,Politecnico di Milano,Antonio Ghezzi,2,"
        ",54,"management,business,strategy",Free Online Course,2018-05-16,Finished,English,,12 weeks long
Business,ESL,Business English Communication,Indian Institute of Technology Madras,Aysha Iqbal Viswamohan,0,"
        ",69,"esl,communication skills,business english",Free Online Course,2018-02-05,Finished,English,,4 weeks long
Business,Accounting,Fundamentals of financial and management accounting,Politecnico di Milano,Jelle Zeilstra,6,"
        ",323,"europe,italy,finance,financial accounting,managerial accounting",Free Online Course,2018-05-16,Finished,English,,5 weeks long
Business,Strategic Management,Management of New Products and Services,Indian Institute of Technology Kanpur,Jayanta Chatterjee,0,"
        ",14,"product management,service management",Free Online Course,2018-02-05,Finished,English,,4 weeks long
Business,Entrepreneurship,The Enterprise Shed: Making Ideas Happen,Newcastle University,Katie Wray,0,"
        ",87,"europe,uk",Free Online Course (Audit),2018-02-05,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Strategic Management,Managing Services,Indian Institute of Technology Kanpur,Jayanta Chatterjee,0,"
        ",21,"india,asia,service management",Free Online Course,2018-02-05,Finished,English,"
              Certificate Available
            ",8 weeks long
Business,Strategic Management,Operations Management,Indian Institute of Technology Roorkee,Inderdeep Singh,0,"
        ",24,"operations management,jit,kanban",Free Online Course,2018-01-22,Finished,English,,12 weeks long
Business,Marketing,Marketing Digital,Universitas Telefónica,Jorge Pinilla,0,"
        ",7,"digital marketing,social media,marketing",Free Online Course,2018-01-15,Finished,Spanish,,6 weeks long
Business,Industry Specific,Tourism Management at UNESCO World Heritage Sites,Université Paris 1 Panthéon-Sorbonne,"Maria Gravari-Barbas, Lorenzo Cantoni and Silvia Aulet Serrallonga",0,"
        ",37,"management,tourism,tourism industry,etourism,unesco",Free Online Course,2018-01-15,Finished,English,,8 weeks long
Business,Business,Sales Strategies: Mastering the Selling Process,The University of Chicago ,Craig Wortmann,3,"
        ",525,"usa,north america",Free Online Course (Audit),2018-01-15,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Business,Business,Oportunidades de Negocio para Internet de las Cosas,Universidad Tecnológica de Chile INACAP,"Paola Benavides, Andrés Zambrano and Francisca Gómez Gajardo",0,"
        ",8,"business,internet of things,agile",Free Online Course,2017-12-27,Finished,Spanish,,6 weeks long
Business,Marketing,Transmedia Storytelling,Sungkyunkwan University,Young-Sung Kwon and Daniel H. BYUN,0,"
        ",85,"marketing,asia,transmedia storytelling,multiplatform storytelling,south korea",Free Online Course (Audit),2017-12-11,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Business,Business Model Metrics and Advanced Tools,Delft University of Technology,"Harry Bouwman, Mark de Reuver  and Timber Haaker",0,"
        ",34,delftx,Free Online Course (Audit),2017-12-15,Finished,English,,8 weeks long
Business,Finance,Fintech. La banca del futuro,Antonio de Nebrija University,Cristina Villalonga Gomez and Leire Nuere Salgado,0,"
        ",10,"finance,fintech",Free Online Course,2017-12-11,Finished,Spanish,,6 weeks long
Business,Industry Specific,P2P en el sector turístico,Antonio de Nebrija University,Cristina Villalonga Gomez,0,"
        ",5,"toursim,p2p technology",Free Online Course,2017-12-11,Finished,Spanish,,6 weeks long
Business,Industry Specific,Gestión Turística: El valor de la Información,Pontifical Catholic University of Valparaíso,"Cecilia Palacios-Avalos, Felipe Lazo and Abel Cortez Ahumada",0,"
        ",,"management,tourism industry",Free Online Course,2017-12-01,Finished,Spanish,,6 weeks long
Business,Strategic Management,Corporate Strategy,University of Illinois at Urbana-Champaign,Joe Mahoney,1,"
        ",2089,"organization design,corporate strategy,usa,north america",Free Online Course (Audit),2017-12-04,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Entrepreneurship,Validación del modelo de negocio,Universidad de Cantabria,Federico Gutiérrez-Solana and Nestor Guerra,0,"
        ",,business models,Free Online Course,2017-11-27,Finished,Spanish,,6 weeks long
Business,Strategic Management,Business Process Management: an Introduction to Process Thinking,Queensland University of Technology,Marlon Dumas and Marcello La Rosa,0,"
        ",94,"business process management,bpm,process thinking,australia",Free Online Course (Audit),2017-11-27,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Management & Leadership,Leadership for Engineers,Delft University of Technology,Hans de Bruijn,4,"
        ",1553,delftx,Free Online Course (Audit),2017-11-15,Finished,English,,5 weeks long
Business,Finance,Epargner et Investir,Grenoble School of Management,Philippe Dupuy,0,"
        ",15,"europe,investing,personal finance,financial markets,france",Free Online Course (Audit),2017-11-13,Finished,French,"
              Paid Certificate Available
            ",5 weeks long
Business,Marketing,"SMM-кампания: цели, стратегия, алгоритм, SMM-активности",Tomsk State University,Андрей Петрович Глухов (Andrey P. Glukhov) and Наталья Андреевна Карнаухова (Natalya A. Karnaukhova),0,"
        ",7,"china,social media,marketing,asia",Free Online Course (Audit),2017-09-25,Finished,Russian,"
              Paid Certificate Available
            ",4 weeks long
Business,Marketing,"Платформы социальных медиа: история, аудитории, возможности использования",Tomsk State University,"Андрей Петрович Глухов (Andrey P. Glukhov), Гульнафист Алтаевна Окушова (Gulnafist A. Okushova) and Юлия Михайловна Стаховская (Yulia M. Stakhovskaya)",0,"
        ",7,"china,social media,marketing,asia",Free Online Course (Audit),2017-09-25,Finished,Russian,"
              Paid Certificate Available
            ",4 weeks long
